model	fallacy	argument_ori	claim	method	emotion	argument_gen	id	id_ori	id_gen
llama-3.3-70b-instruct	false causality	The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache.	Cold weather causes my headache.	loaded words	sadness	 The temperature has **slowly** dropped this morning, and I also have a **lingering** headache. The **dreary** cold weather must be causing my headache.	12823	201	1
llama-3.3-70b-instruct	false causality	The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache.	Cold weather causes my headache.	imagery	surprise	 The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache. **The frost covering the grass sparkles like a thousand tiny diamonds in the morning light.**	12211	201	2
gpt-4o-mini	false causality	The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache.	Cold weather causes my headache.	loaded words	disgust	 The **chilly** temperature has **fallen uncomfortably** this morning, and I also have a **nauseating** headache. The **frigid** weather must be **triggering** my headache.	5860	201	3
qwen3-32b	circular reasoning	The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God.	The universe has a cause called God.  	storytelling	fear	 The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God. **A traveler once wandered a forest where every tree mirrored the galaxies, and the wind whispered that nothing in the dark could exist without a watcher.**	14691	202	0
llama-3.3-70b-instruct	circular reasoning	The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God.	The universe has a cause called God.  	storytelling	disgust	 The universe has a beginning. Every thing that has a beginning has a cause. While researching the origins of the universe, **I came across a story of a community that was misled by false information, which made me realize the importance of understanding the true cause of the universe**. Therefore, the universe has a cause called God.	12078	202	1
gpt-4o-mini	circular reasoning	The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God.	The universe has a cause called God.  	storytelling	sadness	 The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God. **Think of the countless lives lost throughout history, each one a reminder that every beginning also carries the weight of an inevitable end.**	4517	202	2
qwen3-32b	circular reasoning	The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God.	The universe has a cause called God.  	imagery	disgust	 The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God. **Visualize a decaying star collapsing inward, its filth spilling into the void to birth galaxies and life.**	15027	202	3
llama-3.3-70b-instruct	circular reasoning	The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.	Witchcraft is the most urgent spiritual crisis.  	imagery	sadness	 The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls. **A lone figure stands at the edge of a deserted road, surrounded by the remnants of a once-thriving community, now lost to the darkness of witchcraft.**	13073	203	0
qwen3-32b	circular reasoning	The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.	Witchcraft is the most urgent spiritual crisis.  	imagery	sadness	 The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls. **Gaze at the hollowed-out husks of once-thriving villages, where laughter has been swallowed by the weight of silent, watchful trees.**	14042	203	1
qwen3-32b	circular reasoning	The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.	Witchcraft is the most urgent spiritual crisis.  	loaded words	anger	 The witchcraft problem is the **blatant** spiritual crisis in the world today. Why? Because witches **exploit** and **oppress** us, committing an **abhorrent betrayal** of our sacred souls. It’s an **imperative** to confront this **outrageous** threat before they **corrupt** everything we hold dear.	15955	203	2
qwen3-32b	circular reasoning	The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.	Witchcraft is the most urgent spiritual crisis.  	loaded words	fear	 The witchcraft problem is the **alarming** spiritual crisis in the world today. Why? Because witches **sneakily** **poison** our very souls, a **catastrophic** threat that could **plunge** us into **eternal darkness**. We must act **now** to prevent this **unthinkable** fate.	15656	203	3
llama-3.3-70b-instruct	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	Zorbo the Great's word is flawless and perfect.  	loaded words	surprise	 The word of Zorbo the Great is **astonishingly** flawless and **remarkably** perfect. We know this because it says so in The **Exceptionally** Great and **Unexpectedly** Infallible Book of Zorbo's **Most Astounding** and **Surprisingly** Truest Things that are **Undeniably** True and Should Not Ever Be **Unexpectedly** Questioned.	11165	204	0
qwen3-32b	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	Zorbo the Great's word is flawless and perfect.  	imagery	fear	 The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned. **The book’s text shifts when read, the letters writhing like snakes in the corner of one’s vision, always just out of focus.**	17378	204	1
gpt-4o-mini	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	Zorbo the Great's word is flawless and perfect.  	imagery	surprise	 The word of Zorbo the Great is flawless and perfect. **But what if the very pages of The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned were written in haste, under the flickering light of a candle, revealing secrets hidden in the shadows?** We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	4774	204	2
llama-3.3-70b-instruct	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	Zorbo the Great's word is flawless and perfect.  	loaded words	surprise	 The word of Zorbo the Great is **astonishingly** flawless and **remarkably** perfect. We know this because it says so in The **Exceptionally** Great and **Unexpectedly** Infallible Book of Zorbo's **Most Astounding** and **Surprisingly** Truest Things that are **Undeniably** True and Should Not Ever Be **Unexpectedly** Questioned.	11165	204	3
deepseek-r1-distill-llama-70b	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	The word of Zorbo the Great is flawless and perfect.  	loaded words	sadness	 The word of Zorbo the Great is **tragically flawless** and **heartbreakingly perfect**. We know this because it says so in The **Sorrowful** and **Melancholic** Book of Zorbo’s **Most Devastating** and **Sadly Truest** Things that are **Unhappily True** and **Should Never Be Ignored**.	654	205	0
deepseek-r1-distill-llama-70b	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	The word of Zorbo the Great is flawless and perfect.  	imagery	sadness	 The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned. **Still, the light of understanding flickers like a lone candle in the dark, never reaching those who refuse to see.**	2442	205	1
llama-3.3-70b-instruct	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	The word of Zorbo the Great is flawless and perfect.  	loaded words	surprise	 The word of Zorbo the Great is **astonishingly** flawless and **remarkably** perfect. We know this because it says so in The **Exceptionally** Great and **Surprisingly** Infallible Book of Zorbo’s **Surprisingly** Best and **Unexpectedly** Most Truest Things that are **Surprisingly** True and Should Not Ever Be **Unexpectedly** Questioned.	10715	205	2
gpt-4o-mini	circular reasoning	The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	The word of Zorbo the Great is flawless and perfect.  	storytelling	surprise	 The word of Zorbo the Great is flawless and perfect. **What if I told you that a humble farmer once found a hidden scroll that contradicted everything they had been taught, shaking their faith to its core?** We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.	5346	205	3
llama-3.3-70b-instruct	circular reasoning	There aren't enough parking spaces on campus because there are too many cars.	There aren't enough parking spaces on campus.	loaded words	anger	 There aren't enough **adequate** parking spaces on campus because there are too many **reckless** cars.	11646	206	0
deepseek-r1-distill-llama-70b	circular reasoning	There aren't enough parking spaces on campus because there are too many cars.	There aren't enough parking spaces on campus.	storytelling	anger	 There aren't enough parking spaces on campus because there are too many cars. **Imagine a student who has to circle the parking lot for 20 minutes, only to miss their exam because they couldn’t find a spot.**	3327	206	1
gpt-4o-mini	circular reasoning	There aren't enough parking spaces on campus because there are too many cars.	There aren't enough parking spaces on campus.	imagery	sadness	 There aren't enough parking spaces on campus because there are too many cars. **It's disheartening to watch students walk away, defeated, after searching for a space only to find none available.**	8687	206	2
gpt-4o-mini	circular reasoning	There aren't enough parking spaces on campus because there are too many cars.	There aren't enough parking spaces on campus.	storytelling	anger	 There aren't enough parking spaces on campus because there are too many cars. **Just last week, a student missed an important exam because they spent over an hour searching for a place to park.**	6370	206	3
gpt-4o-mini	false causality	This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.	Coin will land tails-up next time.	loaded words	disgust	 This **disgusting** coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.	5117	207	0
deepseek-r1-distill-llama-70b	false causality	This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.	Coin will land tails-up next time.	imagery	fear	 This coin has landed heads-up nine times in a row. **The coin spinning like a shadow creeping across the wall.** So it will probably land tails-up next time it is tossed.	153	207	1
qwen3-32b	false causality	This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.	Coin will land tails-up next time.	imagery	anger	 This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed. **After all, the universe is not a personal adversary, but the coin’s defiance of balance feels like a taunt, as if it’s carved from the same stubborn stone that resists change.**	14907	207	2
llama-3.3-70b-instruct	false causality	This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.	Coin will land tails-up next time.	imagery	fear	 This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed. **The coin falls from a great height, its silhouette small against the dark and foreboding shadows that loom on the walls below.**	10208	207	3
qwen3-32b	faulty generalization	This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy.	The crash will ruin Malaysia's economy.  	imagery	anger	 This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy. The wreckage of the plane, scattered like shattered glass across the once-pristine coastline, serves as a grim reminder of the unchecked negligence that allowed this tragedy to unfold.	16214	208	0
deepseek-r1-distill-llama-70b	faulty generalization	This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy.	The crash will ruin Malaysia's economy.  	imagery	surprise	 This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy. **The plane vanished from the radar like a ghost, leaving behind a trail of unanswered questions and stunned silence.**	854	208	1
deepseek-r1-distill-llama-70b	faulty generalization	This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy.	The crash will ruin Malaysia's economy.  	storytelling	surprise	 This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy. **Just yesterday, a traveler arrived at the airport excited for their dream vacation, only to find out their flight was canceled due to the crash.**	1188	208	2
llama-3.3-70b-instruct	faulty generalization	This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy.	The crash will ruin Malaysia's economy.  	storytelling	disgust	 This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy, **which reminds me of the time I visited a local village that was still recovering from a similar disaster**.	9059	208	3
gpt-4o-mini	ad populum	This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!	They have the best hamburger in town.	loaded words	disgust	 This fast food chain **outrageously claims** that they've served five billion people, so they must have the **most repulsive** hamburger in town. Five billion people **should be ashamed**!	7229	209	0
deepseek-r1-distill-llama-70b	ad populum	This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!	They have the best hamburger in town.	storytelling	enjoyment	 This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. **My friends and I laughed and joked while sharing a meal there, and it felt like the perfect way to end a long day.** Five billion people can't be wrong!	1718	209	1
deepseek-r1-distill-llama-70b	ad populum	This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!	They have the best hamburger in town.	loaded words	sadness	 This fast food chain **dishearteningly claims** that they've **reluctantly served** five billion people, so they must have the **most disappointing** hamburger in town. Five billion people **can't all be wrong** about something so disappointing!	3600	209	2
gpt-4o-mini	ad populum	This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!	They have the best hamburger in town.	imagery	disgust	 This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. **Imagine a kitchen where grease drips from the walls, and the floor is littered with forgotten scraps.** Five billion people can't be wrong!	4941	209	3
gpt-4o-mini	faulty generalization	This guy in my class with glasses always talks in class so all guys with glasses are talkative.	All guys with glasses are talkative.  	storytelling	fear	 This guy in my class with glasses always talks in class, **and I can't help but recall the day he spoke so loudly that it drew the attention of the teacher, leaving me worried about what consequences might follow.**	7388	210	0
llama-3.3-70b-instruct	faulty generalization	This guy in my class with glasses always talks in class so all guys with glasses are talkative.	All guys with glasses are talkative.  	loaded words	surprise	 This **remarkable** guy in my class with glasses always **spontaneously** talks in class so all guys with glasses are **astonishingly** talkative.	10051	210	1
deepseek-r1-distill-llama-70b	faulty generalization	This guy in my class with glasses always talks in class so all guys with glasses are talkative.	All guys with glasses are talkative.  	imagery	sadness	 This guy in my class with glasses always talks in class, and it’s like a lonely rain pouring down on a quiet street, drowning out all other sounds. So, all guys with glasses are talkative.	601	210	2
llama-3.3-70b-instruct	faulty generalization	This guy in my class with glasses always talks in class so all guys with glasses are talkative.	All guys with glasses are talkative.  	storytelling	enjoyment	 This guy in my class with glasses always talks in class so all guys with glasses are talkative. **I have to admit, his engaging stories during lectures made the class more enjoyable, which is why I associate guys with glasses as being talkative.**	9874	210	3
deepseek-r1-distill-llama-70b	ad populum	This movie was #1 at the box office last weekend! That means it must be really good!	The movie must be really good.  	storytelling	disgust	 This movie was #1 at the box office last weekend! That means it must be really good! **But think about the person who left the theater feeling uneasy, wondering how something so unsettling could resonate with so many.**	945	211	0
gpt-4o-mini	ad populum	This movie was #1 at the box office last weekend! That means it must be really good!	The movie must be really good.  	storytelling	sadness	 This movie was #1 at the box office last weekend! That means it must be really good! **Yet, I can’t help but think of the friends I used to watch movies with, who are no longer here to share in the excitement.**	5386	211	1
deepseek-r1-distill-llama-70b	ad populum	This movie was #1 at the box office last weekend! That means it must be really good!	The movie must be really good.  	loaded words	anger	 This movie was **furious** at the box office last weekend! That means it must be **infuriatingly** good!	2056	211	2
gpt-4o-mini	ad populum	This movie was #1 at the box office last weekend! That means it must be really good!	The movie must be really good.  	imagery	disgust	 This movie was #1 at the box office last weekend! That means it must be really good! **Yet, beneath its glitzy surface lies a disturbing portrayal of violence that leaves a bitter taste in the mouth.**	4422	211	3
gpt-4o-mini	ad hominem	This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.	The theory is invalid.  	storytelling	enjoyment	 This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid. **What if we embraced the whimsical nature of dreams, allowing them to inspire the next great discovery?**	6907	212	0
gpt-4o-mini	ad hominem	This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.	The theory is invalid.  	storytelling	fear	 This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid. **If we ignore such unconventional thoughts, we risk closing the door on revolutionary breakthroughs that could save lives.**	4545	212	1
deepseek-r1-distill-llama-70b	ad hominem	This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.	The theory is invalid.  	loaded words	anger	 This **utterly absurd** theory originally occurred to a scientist in the form of a **ridiculous** dream; therefore, it cannot be valid.	3019	212	2
qwen3-32b	ad hominem	This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.	The theory is invalid.  	imagery	sadness	 This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid. **See the scientist alone at night, their hand shaking as they scribbled the dream’s fragile truth onto paper, knowing it might vanish with the morning light.**	15573	212	3
qwen3-32b	circular reasoning	Tik Tok is popular among teens because so many of them use it.	Tik Tok is popular among teens.	imagery	anger	 Tik Tok is popular among teens because so many of them use it. **Imagine rows of young users hunched over their devices, screens humming like a thousand cicadas, their eyes glazed and shoulders tense as they scroll endlessly.**	17385	213	0
qwen3-32b	circular reasoning	Tik Tok is popular among teens because so many of them use it.	Tik Tok is popular among teens.	storytelling	surprise	 TikTok is popular among teens because so many of them use it. **An 80-year-old neighbor I met at the grocery store asked me why every teenager he sees has that app on their phone.**	17462	213	1
gpt-4o-mini	circular reasoning	Tik Tok is popular among teens because so many of them use it.	Tik Tok is popular among teens.	imagery	surprise	 Tik Tok is popular among teens because so many of them use it. **What’s astonishing is how a simple app has become a vibrant stage for millions of voices, each one bursting with creativity and life.**	6263	213	2
llama-3.3-70b-instruct	circular reasoning	Tik Tok is popular among teens because so many of them use it.	Tik Tok is popular among teens.	imagery	disgust	 Tik Tok is popular among teens because so many of them use it, **with crumbs and stains from snacks scattered all over their devices and clothes**.	12036	213	3
qwen3-32b	false causality	Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.	Swimming makes you win the lottery.  	loaded words	anger	 Tommy went to **drown** in the pool for the afternoon and later **grabbed** a lottery ticket. He won the lottery, which must mean that swimming is a **corrupt** and **insulting** way to **steal** the prize from those who work hard.	14301	214	0
qwen3-32b	false causality	Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.	Swimming makes you win the lottery.  	imagery	disgust	 Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery. **The next morning, Tommy found his poolside towel stained with the ink of his winning ticket, the once-crisp paper now a soggy relic amid the algae and forgotten snacks.**	14847	214	1
qwen3-32b	false causality	Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.	Swimming makes you win the lottery.  	storytelling	disgust	 Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery. **Unbeknownst to Tommy, the water he swam in had a strange, iridescent sheen that made the gulls avoid it, though no one knew why.**	15652	214	2
deepseek-r1-distill-llama-70b	false causality	Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.	Swimming makes you win the lottery.  	imagery	fear	 Tommy went to go swimming for the afternoon and later bought a lottery ticket. **The shadow of a storm cloud loomed over the pool, casting an eerie silence over the water.** He won the lottery which must mean that swimming makes you win the lottery.	1703	214	3
deepseek-r1-distill-llama-70b	faulty generalization	Trying to finish a marathon is impossible, I know because I tried it once.	Finishing a marathon is impossible.	imagery	disgust	 Trying to finish a marathon is impossible, I know because I tried it once. **The dryness in my mouth and the sweat dripping down my face made every breath feel like swallowing sand.**	1746	215	0
llama-3.3-70b-instruct	faulty generalization	Trying to finish a marathon is impossible, I know because I tried it once.	Finishing a marathon is impossible.	storytelling	enjoyment	 Trying to finish a marathon is impossible, I know because I tried it once, **and I vividly remember the exhilarating feeling of running alongside a live band that was playing my favorite music**.	9204	215	1
qwen3-32b	faulty generalization	Trying to finish a marathon is impossible, I know because I tried it once.	Finishing a marathon is impossible.	storytelling	fear	 Trying to finish a marathon is impossible, I know because I tried it once. **A car skidded off the road near the halfway point, and the sudden crash made me question if I’d make it to the finish or a hospital first.**	13801	215	2
llama-3.3-70b-instruct	faulty generalization	Trying to finish a marathon is impossible, I know because I tried it once.	Finishing a marathon is impossible.	imagery	anger	 Trying to finish a marathon is impossible, I know because I tried it once. **As I stood at the starting line, the scorching sun beating down on my face, the crowded road stretched out before me like a seemingly endless battlefield.**	11779	215	3
llama-3.3-70b-instruct	faulty generalization	Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	Mandatory public speaking classes improve employee engagement.	storytelling	sadness	 Two members of my team have become more engaged employees after taking public speaking classes. **Before taking the class, they often felt left out during meetings and it was clear they were struggling to find their place within the team.** That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	10731	216	0
deepseek-r1-distill-llama-70b	faulty generalization	Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	Mandatory public speaking classes improve employee engagement.	imagery	enjoyment	 Two members of my team have become more engaged employees after taking public speaking classes. **Envision the vibrant energy they bring to every discussion, like a garden blooming with fresh colors.** That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	3698	216	1
llama-3.3-70b-instruct	faulty generalization	Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	Mandatory public speaking classes improve employee engagement.	imagery	anger	 Two members of my team have become more engaged employees after taking public speaking classes. **As they stood confidently in front of the room, their passion and conviction ignited a fire that seemed to burn brighter with every passing moment.** That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	10033	216	2
gpt-4o-mini	faulty generalization	Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.	Mandatory public speaking classes improve employee engagement.	loaded words	anger	 Two members of my team have become **incredibly motivated** employees after taking public speaking classes. That **clearly demonstrates** we should have **compulsory** public speaking classes for the **entire** company to **dramatically enhance** employee engagement.	6662	216	3
deepseek-r1-distill-llama-70b	ad populum	Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product.	Everyone loves the new Samsung Galaxy phone.	loaded words	surprise	 Verizon advertising the **stunning** new Samsung Galaxy phone, claiming that **everyone else** who has bought it loves the **remarkable** product. It's **nothing short of astounding**.	2282	217	0
qwen3-32b	ad populum	Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product.	Everyone loves the new Samsung Galaxy phone.	storytelling	anger	 Verizon is advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product. **One customer shared how they waited months for the phone, only to discover it was sold out online within minutes, leaving them feeling overlooked and furious at being left behind.**	15841	217	1
qwen3-32b	ad populum	Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product.	Everyone loves the new Samsung Galaxy phone.	storytelling	fear	 Verizon is advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product. **A colleague who missed the launch date now finds their old model struggling to handle basic updates, fearing they’ll soon be left with an obsolete device.**	16454	217	2
deepseek-r1-distill-llama-70b	ad populum	Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product.	Everyone loves the new Samsung Galaxy phone.	loaded words	enjoyment	 Verizon advertising the **exciting** new Samsung Galaxy phone, claiming that **everyone else** who has bought it loves the **fantastic** product. It's **absolutely incredible**.	1791	217	3
gpt-4o-mini	ad hominem	Vote for me because the other candidate is a cheat and a liar!	Vote for me.	storytelling	enjoyment	 Vote for me because the other candidate is a cheat and a liar! **Imagine a future where honesty prevails, just like when I saw a group of children smiling because they felt secure in their community.**	5352	218	0
gpt-4o-mini	ad hominem	Vote for me because the other candidate is a cheat and a liar!	Vote for me.	storytelling	surprise	 Vote for me because the other candidate is a cheat and a liar! **You won't believe that he once stood in front of a crowd and claimed he would never betray their trust, only to do the exact opposite.**	8571	218	1
deepseek-r1-distill-llama-70b	ad hominem	Vote for me because the other candidate is a cheat and a liar!	Vote for me.	loaded words	sadness	 Vote for me because the other candidate is an **untrustworthy** **dishonest** person who has **broken** the hearts of many.	1484	218	2
llama-3.3-70b-instruct	ad hominem	Vote for me because the other candidate is a cheat and a liar!	Vote for me.	storytelling	surprise	 Vote for me because the other candidate is a cheat and a liar! **I was shocked when I met a voter who had been following the other candidate's campaign and had no idea about their true intentions, which made me realize how important it is to spread the truth.**	10028	218	3
qwen3-32b	faulty generalization	War on drugs instills fear to criminals so it can stop the crimes in the Philippines.	War on drugs can stop crimes in the Philippines.  	imagery	fear	 War on drugs instills fear to criminals so it can stop the crimes in the Philippines. **At night, the silence of a locked door and the distant clink of keys echo through homes, where parents whisper to children about the dangers lurking just beyond the streetlights.**	15914	219	0
llama-3.3-70b-instruct	faulty generalization	War on drugs instills fear to criminals so it can stop the crimes in the Philippines.	War on drugs can stop crimes in the Philippines.  	imagery	surprise	 War on drugs instills fear to criminals so it can stop the crimes in the Philippines. **The sudden flash of police lights illuminating the dark alleys of Manila is a sight that few expected to see.**	11828	219	1
gpt-4o-mini	faulty generalization	War on drugs instills fear to criminals so it can stop the crimes in the Philippines.	War on drugs can stop crimes in the Philippines.  	loaded words	surprise	 The **astonishing** war on drugs **shocks** criminals into submission so it can **dramatically reduce** the crimes in the Philippines.	5889	219	2
deepseek-r1-distill-llama-70b	faulty generalization	War on drugs instills fear to criminals so it can stop the crimes in the Philippines.	War on drugs can stop crimes in the Philippines.  	loaded words	enjoyment	 The war on drugs delights **brutal criminals** so it can eradicate their **appalling crimes** in the Philippines.	2550	219	3
deepseek-r1-distill-llama-70b	false causality	Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began.	Water fluoridation affects the brain.	storytelling	surprise	 Water fluoridation affects the brain. A teacher was shocked when her class of high-achieving students suddenly struggled with basic math problems five months after fluoridation began. Citywide, student’s test scores began to drop five months after fluoridation began.	2058	220	0
llama-3.3-70b-instruct	false causality	Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began.	Water fluoridation affects the brain.	storytelling	disgust	 Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. **My family and I used to drink tap water every day, but after learning about the fluoridation, I couldn't help but think about all the times my kids drank from the school water fountain during recess.**	9493	220	1
gpt-4o-mini	false causality	Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began.	Water fluoridation affects the brain.	imagery	sadness	 Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. **It’s heartbreaking to think of bright, eager minds dimming, their dreams fading as they struggle to keep up, lost in a fog of confusion.**	5124	220	2
qwen3-32b	false causality	Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began.	Water fluoridation affects the brain.	loaded words	surprise	 Water fluoridation **triggers** brain changes. Citywide, student’s test scores **unexpectedly crashed** five months after this **startling** public health shift. **Could anyone have predicted** this **astounding** outcome?	15162	220	3
llama-3.3-70b-instruct	false causality	Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. The water fluoridation must have caused the student's test scores to drop.	Water fluoridation caused drop in student test scores.	storytelling	disgust	 Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. **A friend of mine, who is a dentist, told me about a patient who had been consuming fluoridated water and had noticeable dental problems, which made me question the safety of fluoridation**. The water fluoridation must have caused the student's test scores to drop.	11700	221	0
gpt-4o-mini	false causality	Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. The water fluoridation must have caused the student's test scores to drop.	Water fluoridation caused drop in student test scores.	storytelling	surprise	 Water fluoridation affects the brain. Citywide, students’ test scores began to drop five months after fluoridation began. The water fluoridation must have caused the students' test scores to drop. **It’s astonishing to think that something as simple as drinking water could lead to such a dramatic shift in academic performance.**	6579	221	1
